highest,monthYear,count,country
WorkLifeBalance,2012-04-01,98,Total
WorkLifeBalance,2012-05-01,2055,Total
WorkLifeBalance,2012-06-01,837,Total
WorkLifeBalance,2012-07-01,409,Total
WorkLifeBalance,2012-08-01,425,Total
WorkLifeBalance,2012-09-01,410,Total
WorkLifeBalance,2012-10-01,494,Total
WorkLifeBalance,2012-11-01,473,Total
WorkLifeBalance,2012-12-01,352,Total
WorkLifeBalance,2013-01-01,348,Total
WorkLifeBalance,2013-02-01,362,Total
WorkLifeBalance,2013-03-01,519,Total
WorkLifeBalance,2013-04-01,379,Total
WorkLifeBalance,2013-05-01,5532,Total
WorkLifeBalance,2013-06-01,2673,Total
WorkLifeBalance,2013-07-01,368,Total
WorkLifeBalance,2013-08-01,461,Total
WorkLifeBalance,2013-09-01,661,Total
WorkLifeBalance,2013-10-01,719,Total
WorkLifeBalance,2013-11-01,985,Total
WorkLifeBalance,2013-12-01,327,Total
WorkLifeBalance,2014-01-01,1596,Total
WorkLifeBalance,2014-02-01,755,Total
WorkLifeBalance,2014-03-01,833,Total
WorkLifeBalance,2014-04-01,826,Total
WorkLifeBalance,2014-05-01,2072,Total
WorkLifeBalance,2014-06-01,810,Total
WorkLifeBalance,2014-07-01,583,Total
WorkLifeBalance,2014-08-01,3126,Total
WorkLifeBalance,2014-09-01,618,Total
WorkLifeBalance,2014-10-01,789,Total
WorkLifeBalance,2014-11-01,557,Total
WorkLifeBalance,2014-12-01,431,Total
WorkLifeBalance,2015-01-01,562,Total
WorkLifeBalance,2015-02-01,601,Total
WorkLifeBalance,2015-03-01,1084,Total
WorkLifeBalance,2015-04-01,540,Total
WorkLifeBalance,2015-05-01,522,Total
WorkLifeBalance,2015-06-01,912,Total
WorkLifeBalance,2015-07-01,420,Total
WorkLifeBalance,2015-08-01,311,Total
WorkLifeBalance,2015-09-01,119,Total
Community,2011-05-01,2,ABW
Community,2011-06-01,0,ABW
Community,2011-07-01,0,ABW
Community,2011-08-01,0,ABW
Community,2011-09-01,0,ABW
Community,2011-10-01,0,ABW
Community,2011-11-01,0,ABW
Community,2011-12-01,0,ABW
Community,2012-01-01,0,ABW
Community,2012-02-01,0,ABW
Community,2012-03-01,0,ABW
Community,2012-04-01,0,ABW
Community,2012-05-01,1,ABW
Community,2012-06-01,0,ABW
Community,2012-07-01,0,ABW
Community,2012-08-01,0,ABW
Community,2012-09-01,0,ABW
Community,2012-10-01,0,ABW
Community,2012-11-01,0,ABW
Community,2012-12-01,0,ABW
Community,2013-01-01,0,ABW
Community,2013-02-01,1,ABW
Community,2013-03-01,0,ABW
Community,2013-04-01,0,ABW
Community,2013-05-01,3,ABW
Community,2013-06-01,1,ABW
Community,2013-07-01,1,ABW
Community,2013-08-01,0,ABW
Community,2013-09-01,0,ABW
Community,2013-10-01,0,ABW
Community,2013-11-01,0,ABW
Community,2013-12-01,0,ABW
Community,2014-01-01,0,ABW
Community,2014-02-01,0,ABW
Community,2014-03-01,0,ABW
Community,2014-04-01,1,ABW
Community,2014-05-01,0,ABW
Community,2014-06-01,0,ABW
Community,2014-07-01,0,ABW
Community,2014-08-01,0,ABW
Community,2014-09-01,0,ABW
Community,2014-10-01,0,ABW
Community,2014-11-01,0,ABW
Community,2014-12-01,0,ABW
Community,2015-01-01,0,ABW
Community,2015-02-01,0,ABW
Community,2015-03-01,1,ABW
Community,2015-04-01,3,ABW
Community,2015-05-01,0,ABW
Community,2015-06-01,1,ABW
Community,2015-07-01,0,ABW
Community,2015-08-01,0,ABW
Community,2015-09-01,0,ABW
Community,2011-05-01,0,AFG
Community,2011-06-01,0,AFG
Community,2011-07-01,0,AFG
Community,2011-08-01,0,AFG
Community,2011-09-01,0,AFG
Community,2011-10-01,1,AFG
Community,2011-11-01,1,AFG
Community,2011-12-01,0,AFG
Community,2012-01-01,0,AFG
Community,2012-02-01,0,AFG
Community,2012-03-01,0,AFG
Community,2012-04-01,0,AFG
Community,2012-05-01,4,AFG
Community,2012-06-01,3,AFG
Community,2012-07-01,0,AFG
Community,2012-08-01,0,AFG
Community,2012-09-01,2,AFG
Community,2012-10-01,0,AFG
Community,2012-11-01,0,AFG
Community,2012-12-01,1,AFG
Community,2013-01-01,0,AFG
Community,2013-02-01,3,AFG
Community,2013-03-01,1,AFG
Community,2013-04-01,1,AFG
Community,2013-05-01,10,AFG
Community,2013-06-01,8,AFG
Community,2013-07-01,1,AFG
Community,2013-08-01,1,AFG
Community,2013-09-01,2,AFG
Community,2013-10-01,1,AFG
Community,2013-11-01,3,AFG
Community,2013-12-01,1,AFG
Community,2014-01-01,3,AFG
Community,2014-02-01,6,AFG
Community,2014-03-01,0,AFG
Community,2014-04-01,1,AFG
Community,2014-05-01,2,AFG
Community,2014-06-01,2,AFG
Community,2014-07-01,1,AFG
Community,2014-08-01,1,AFG
Community,2014-09-01,3,AFG
Community,2014-10-01,3,AFG
Community,2014-11-01,2,AFG
Community,2014-12-01,0,AFG
Community,2015-01-01,1,AFG
Community,2015-02-01,2,AFG
Community,2015-03-01,1,AFG
Community,2015-04-01,1,AFG
Community,2015-05-01,1,AFG
Community,2015-06-01,1,AFG
Community,2015-07-01,2,AFG
Community,2015-08-01,0,AFG
Community,2015-09-01,0,AFG
Community,2011-05-01,1,AGO
Community,2011-06-01,0,AGO
Community,2011-07-01,0,AGO
Community,2011-08-01,0,AGO
Community,2011-09-01,0,AGO
Community,2011-10-01,0,AGO
Community,2011-11-01,0,AGO
Community,2011-12-01,1,AGO
Community,2012-01-01,1,AGO
Community,2012-02-01,0,AGO
Community,2012-03-01,0,AGO
Community,2012-04-01,0,AGO
Community,2012-05-01,1,AGO
Community,2012-06-01,1,AGO
Community,2012-07-01,0,AGO
Community,2012-08-01,1,AGO
Community,2012-09-01,1,AGO
Community,2012-10-01,0,AGO
Community,2012-11-01,0,AGO
Community,2012-12-01,0,AGO
Community,2013-01-01,0,AGO
Community,2013-02-01,1,AGO
Community,2013-03-01,0,AGO
Community,2013-04-01,0,AGO
Community,2013-05-01,1,AGO
Community,2013-06-01,0,AGO
Community,2013-07-01,0,AGO
Community,2013-08-01,0,AGO
Community,2013-09-01,1,AGO
Community,2013-10-01,0,AGO
Community,2013-11-01,0,AGO
Community,2013-12-01,0,AGO
Community,2014-01-01,2,AGO
Community,2014-02-01,0,AGO
Community,2014-03-01,1,AGO
Community,2014-04-01,0,AGO
Community,2014-05-01,1,AGO
Community,2014-06-01,0,AGO
Community,2014-07-01,0,AGO
Community,2014-08-01,0,AGO
Community,2014-09-01,0,AGO
Community,2014-10-01,1,AGO
Community,2014-11-01,0,AGO
Community,2014-12-01,0,AGO
Community,2015-01-01,0,AGO
Community,2015-02-01,0,AGO
Community,2015-03-01,0,AGO
Community,2015-04-01,0,AGO
Community,2015-05-01,0,AGO
Community,2015-06-01,0,AGO
Community,2015-07-01,0,AGO
Community,2015-08-01,1,AGO
Community,2015-09-01,0,AGO
Community,2011-05-01,0,AIA
Community,2011-06-01,0,AIA
Community,2011-07-01,0,AIA
Community,2011-08-01,0,AIA
Community,2011-09-01,0,AIA
Community,2011-10-01,0,AIA
Community,2011-11-01,0,AIA
Community,2011-12-01,0,AIA
Community,2012-01-01,0,AIA
Community,2012-02-01,0,AIA
Community,2012-03-01,0,AIA
Community,2012-04-01,0,AIA
Community,2012-05-01,1,AIA
Community,2012-06-01,0,AIA
Community,2012-07-01,0,AIA
Community,2012-08-01,0,AIA
Community,2012-09-01,0,AIA
Community,2012-10-01,0,AIA
Community,2012-11-01,0,AIA
Community,2012-12-01,0,AIA
Community,2013-01-01,0,AIA
Community,2013-02-01,1,AIA
Community,2013-03-01,0,AIA
Community,2013-04-01,0,AIA
Community,2013-05-01,0,AIA
Community,2013-06-01,0,AIA
Community,2013-07-01,0,AIA
Community,2013-08-01,0,AIA
Community,2013-09-01,1,AIA
Community,2013-10-01,0,AIA
Community,2013-11-01,0,AIA
Community,2013-12-01,0,AIA
Community,2014-01-01,0,AIA
Community,2014-02-01,0,AIA
Community,2014-03-01,0,AIA
